@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE action {North, East, South, West}

@DATA
7,23,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,17,14,15,18,0,53,East,East
8,23,false,true,false,true,10,15,13,15,14,15,17,15,4,4,4,4,16,13,14,17,0,52,East,East
9,23,false,true,true,true,10,15,13,15,14,15,17,15,4,4,4,4,15,12,13,16,0,51,East,South
9,22,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,14,11,12,15,0,50,South,South
9,21,true,false,true,false,10,15,13,15,14,15,17,15,4,4,4,4,13,10,11,14,0,49,South,South
9,20,true,true,false,false,10,15,13,15,14,15,17,15,4,4,4,4,12,9,10,13,0,48,South,East
10,20,false,true,false,true,10,15,13,15,14,15,17,15,5,4,4,4,11,8,9,12,0,47,East,East
11,20,false,true,false,true,10,15,13,15,14,15,17,15,6,4,4,4,10,7,8,11,0,46,East,East
12,20,false,false,true,true,10,15,13,15,14,15,17,15,6,4,4,4,9,6,7,10,0,45,East,South
12,19,true,false,true,false,10,15,13,15,14,15,17,15,6,4,4,4,8,5,6,9,0,44,South,South
12,18,true,false,true,false,10,15,13,15,14,15,17,15,6,4,4,4,7,4,5,8,0,43,South,South
12,17,true,true,false,true,10,15,13,15,14,15,17,15,6,4,4,4,6,3,4,7,0,42,South,East
13,17,false,true,true,true,10,15,13,15,14,15,17,15,6,5,4,4,5,2,3,6,0,41,East,South
13,16,true,true,true,false,10,15,13,15,14,15,17,15,6,5,4,4,4,1,2,5,0,40,South,South
