@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West, Stop}

@DATA
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,-1,-2,4,Stop,4,4,4,4,true,false,false,false,false,false,true,false,Stop
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,-2,-3,4,Stop,4,4,4,4,true,false,false,false,false,false,true,false,Stop
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,-3,-4,4,Stop,4,4,4,4,true,false,false,false,false,false,true,false,East
2,18,false,true,false,true,5,9,11,3,17,6,25,13,20,26,27,28,0,4,-4,-5,4,East,4,4,4,4,true,false,false,false,false,false,false,true,West
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,-5,-6,4,West,4,4,4,4,true,false,false,false,false,false,true,false,Stop
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,-6,-7,4,West,4,4,4,4,true,false,false,false,false,false,true,false,Stop
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,-7,-8,4,West,4,4,4,4,true,false,false,false,false,false,true,false,South
1,17,true,false,true,false,5,9,11,3,17,6,25,13,18,24,27,30,0,4,-8,-9,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,16,true,true,true,false,5,9,11,3,17,6,25,13,17,23,26,29,0,4,-9,-10,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,15,true,true,true,false,5,9,11,3,17,6,25,13,16,22,25,28,0,4,-10,-11,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,14,true,true,true,false,5,9,11,3,17,6,25,13,15,21,24,29,0,4,-11,-12,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,13,true,false,true,false,5,9,11,3,17,6,25,13,14,20,23,30,0,4,-12,-13,4,South,4,4,4,3,true,false,false,false,false,false,true,false,South
1,12,true,true,true,false,5,9,11,3,17,6,25,13,13,19,22,29,0,4,-13,-14,4,South,4,4,4,2,true,false,false,false,false,false,true,false,South
1,11,true,false,true,false,5,9,11,3,17,6,25,13,12,18,23,30,0,4,-14,-15,4,South,4,4,4,2,true,false,false,false,false,false,true,false,South
1,10,true,false,true,false,5,9,11,3,17,6,25,13,11,17,24,31,0,4,-15,-16,4,South,4,4,4,2,true,false,false,false,false,false,true,false,South
1,9,true,false,true,false,5,9,11,3,17,6,25,13,10,16,25,32,0,4,-16,-17,4,South,3,4,4,2,true,false,false,false,false,false,true,false,South
1,8,true,false,true,false,5,9,11,3,17,6,25,13,9,15,26,33,0,4,-17,-18,4,South,2,4,4,2,true,false,false,false,false,false,true,false,South
1,7,true,false,true,false,5,9,11,3,17,6,25,13,8,14,27,34,0,4,-18,-19,4,South,2,4,4,2,true,false,false,false,false,false,true,false,South
1,6,true,true,true,false,5,9,11,3,17,6,25,13,7,13,28,35,0,4,-19,-20,4,South,2,4,3,2,true,false,false,false,false,true,false,false,East
2,6,false,true,true,true,5,9,11,3,17,6,25,13,6,12,27,34,0,4,-20,-21,4,East,2,4,3,2,true,false,false,false,false,true,false,false,East
3,6,true,true,true,true,5,9,11,3,17,6,25,13,5,11,26,33,0,4,-21,-22,4,East,2,4,3,2,true,false,false,false,false,true,false,false,East
4,6,true,true,true,true,5,9,11,3,17,6,25,13,4,10,25,32,0,4,-22,-23,4,East,2,4,3,2,true,false,false,false,false,true,false,false,East
5,6,true,true,true,true,5,9,11,3,17,6,25,13,3,9,24,31,0,4,-23,-24,4,East,8,4,3,2,true,false,false,false,true,false,false,false,North
5,7,true,true,true,true,5,9,11,3,17,6,25,13,2,10,25,32,0,4,-24,-25,4,North,8,4,4,2,true,false,false,false,true,false,false,false,North
5,8,true,true,true,true,5,9,11,3,17,6,25,13,1,11,26,33,0,4,-25,74,3,North,8,4,4,2,true,false,false,false,true,false,false,false,North
5,9,true,true,true,true,1,1,11,3,17,6,25,13,-1,12,27,34,0,3,174,173,3,North,6,4,4,2,false,true,false,false,false,true,false,false,North
5,10,false,true,true,true,1,1,11,3,17,6,25,13,-1,13,28,35,0,3,173,172,3,North,6,4,4,2,false,true,false,false,false,true,false,false,South
5,9,true,true,true,true,1,1,11,3,17,6,25,13,-1,12,27,34,0,3,172,171,3,South,6,4,4,2,false,true,false,false,false,true,false,false,East
6,9,true,false,true,true,1,1,11,3,17,6,25,13,-1,11,26,33,0,3,171,170,3,East,6,4,4,2,false,true,false,false,false,false,true,false,Stop
6,9,true,false,true,true,1,1,11,3,17,6,25,13,-1,11,26,33,0,3,170,169,3,East,6,4,4,2,false,true,false,false,false,false,true,false,Stop
6,9,true,false,true,true,1,1,11,3,17,6,25,13,-1,11,26,33,0,3,169,168,3,East,6,4,4,2,false,true,false,false,false,false,true,false,South
6,8,true,false,true,true,1,1,11,3,17,6,25,13,-1,10,25,32,0,3,168,167,3,South,6,4,4,2,false,true,false,false,false,false,true,false,South
6,7,true,false,true,true,1,1,11,3,17,6,25,13,-1,9,24,31,0,3,167,166,3,South,6,4,4,2,false,true,false,false,false,false,true,false,South
6,6,true,true,false,true,1,1,11,3,17,6,25,13,-1,8,23,30,0,3,166,165,3,South,6,4,3,2,false,true,false,false,false,true,false,false,East
