@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
false,true,true,true,-1,-1,10,17,0,2,East,6,6,4,2,false,false,true,false,East
true,true,true,true,-1,-1,9,16,0,2,East,6,6,4,2,false,false,true,false,South
true,true,true,true,-1,-1,8,17,0,2,South,6,6,4,2,false,false,true,false,South
true,true,true,true,-1,-1,7,18,0,2,South,6,6,4,2,false,false,true,false,South
true,false,true,true,-1,-1,6,19,0,2,South,6,6,4,2,false,false,true,false,South
true,true,true,true,-1,-1,5,20,0,2,South,6,6,4,2,false,false,true,false,South
true,false,true,true,-1,-1,4,21,0,2,South,6,6,4,2,false,false,true,false,South
true,true,true,true,-1,-1,3,22,0,2,South,6,6,3,2,false,false,true,false,East
false,true,false,true,-1,-1,2,23,0,2,East,6,6,3,2,false,false,true,false,East
false,true,false,true,-1,-1,1,24,0,2,East,6,6,3,2,false,false,true,false,East
false,true,true,true,-1,-1,-1,25,0,1,East,6,6,6,2,false,false,false,true,West
false,true,false,true,-1,-1,-1,24,0,1,West,6,6,6,2,false,false,false,true,West
false,true,false,true,-1,-1,-1,23,0,1,West,6,6,6,2,false,false,false,true,West
true,true,true,true,-1,-1,-1,22,0,1,West,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,21,0,1,North,6,6,6,2,false,false,false,true,North
true,true,true,true,-1,-1,-1,20,0,1,North,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,19,0,1,North,6,6,6,2,false,false,false,true,North
true,true,true,true,-1,-1,-1,18,0,1,North,6,6,6,2,false,false,false,true,East
true,true,false,true,-1,-1,-1,17,0,1,East,6,6,6,2,false,false,false,true,East
true,true,false,true,-1,-1,-1,16,0,1,East,6,6,6,2,false,false,false,true,East
true,true,false,true,-1,-1,-1,15,0,1,East,6,6,6,2,false,false,false,true,East
true,true,false,true,-1,-1,-1,14,0,1,East,6,6,6,2,false,false,false,true,East
true,true,false,true,-1,-1,-1,13,0,1,East,6,6,6,2,false,false,false,true,East
true,true,false,true,-1,-1,-1,12,0,1,East,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,11,0,1,North,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,10,0,1,North,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,9,0,1,North,6,6,6,3,false,false,false,true,North
true,false,true,true,-1,-1,-1,8,0,1,North,6,6,6,4,false,false,false,true,North
true,true,true,false,-1,-1,-1,7,0,1,North,6,6,6,4,false,false,false,true,East
true,true,false,true,-1,-1,-1,6,0,1,East,6,6,6,4,false,false,false,true,East
true,true,true,true,-1,-1,-1,5,0,1,East,6,6,6,4,false,false,false,true,East
true,true,true,true,-1,-1,-1,4,0,1,East,6,6,6,4,false,false,false,true,East
true,true,true,true,-1,-1,-1,3,0,1,East,6,6,6,4,false,false,false,true,East
true,false,true,true,-1,-1,-1,2,0,1,East,6,6,6,5,false,false,false,true,South
true,false,true,true,-1,-1,-1,1,0,1,South,6,6,6,5,false,false,false,true,South
false,true,false,true,34,31,30,33,0,4,Stop,8,8,8,2,false,false,true,false,East
true,true,false,true,33,30,29,32,0,4,East,8,8,8,2,false,false,true,false,North
true,false,true,false,32,29,28,31,0,4,North,8,8,8,2,false,false,true,false,North
false,true,true,false,31,28,27,30,0,4,North,8,8,8,2,false,false,true,false,East
false,true,false,true,30,27,26,29,0,4,East,8,8,8,2,false,false,true,false,East
false,true,false,true,29,26,25,28,0,4,East,8,8,8,8,false,false,true,false,East
true,false,false,true,28,25,24,27,0,4,East,8,8,8,8,false,false,true,false,North
true,false,true,false,27,24,23,26,0,4,North,8,8,8,8,false,false,true,false,North
true,false,true,false,26,23,22,25,0,4,North,8,8,8,8,false,false,true,false,North
false,true,true,true,25,22,21,24,0,4,North,8,8,8,8,false,false,true,false,East
false,true,false,true,24,21,20,23,0,4,East,8,8,8,8,false,false,true,false,East
false,true,false,true,23,20,19,22,0,4,East,8,8,8,8,false,false,true,false,East
true,false,true,true,22,19,18,21,0,4,East,8,8,8,8,false,false,true,false,North
true,false,true,false,21,18,17,20,0,4,North,8,8,8,8,false,false,true,false,North
true,false,true,false,20,17,16,19,0,4,North,8,8,8,8,false,false,true,false,North
true,true,true,true,19,16,15,18,0,4,North,8,8,8,8,false,false,true,false,West
false,true,false,true,18,15,14,17,0,4,West,8,8,8,8,false,false,true,false,West
true,true,false,true,17,14,13,16,0,4,West,8,8,8,8,false,false,true,false,North
true,false,true,false,16,13,12,15,0,4,North,8,8,8,8,false,false,true,false,North
