@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
14,8,true,true,true,true,1,1,3,1,17,6,25,7,-1,-1,5,12,0,2,353,352,2,South,6,6,4,4,false,false,true,false,false,false,true,false,South
14,7,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,4,13,0,2,352,351,2,South,6,6,4,3,false,false,true,false,false,false,true,false,South
14,6,true,true,true,true,1,1,3,1,17,6,25,7,-1,-1,3,12,0,2,351,350,2,South,6,6,3,2,false,false,true,false,false,true,false,false,East
15,6,false,true,false,true,1,1,3,1,17,6,25,7,-1,-1,2,11,0,2,350,349,2,East,6,6,3,2,false,false,true,false,false,true,false,false,East
16,6,false,true,false,true,1,1,3,1,17,6,25,7,-1,-1,1,10,0,2,349,448,1,East,6,6,3,2,false,false,true,false,false,true,false,false,East
17,6,false,true,true,true,1,1,3,1,5,1,25,7,-1,-1,-1,9,0,1,548,547,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
18,6,false,true,true,true,1,1,3,1,5,1,25,7,-1,-1,-1,8,0,1,547,546,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
19,6,false,true,true,true,1,1,3,1,5,1,25,7,-1,-1,-1,7,0,1,546,545,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
20,6,false,true,true,true,1,1,3,1,5,1,25,7,-1,-1,-1,6,0,1,545,544,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
21,6,false,true,false,true,1,1,3,1,5,1,25,7,-1,-1,-1,5,0,1,544,543,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
22,6,false,true,false,true,1,1,3,1,5,1,25,7,-1,-1,-1,4,0,1,543,542,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
23,6,true,true,true,true,1,1,3,1,5,1,25,7,-1,-1,-1,3,0,1,542,541,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
24,6,true,true,true,true,1,1,3,1,5,1,25,7,-1,-1,-1,2,0,1,541,540,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
25,6,true,true,true,true,1,1,3,1,5,1,25,7,-1,-1,-1,1,0,1,540,639,0,East,6,6,6,8,false,false,false,true,true,false,false,false,North
1,3,true,true,false,false,1,10,2,8,2,9,3,7,7,6,7,6,0,4,0,-1,4,Stop,8,2,2,2,false,true,false,false,false,true,false,false,East
2,3,true,true,false,true,1,10,2,8,2,9,3,7,8,5,6,5,0,4,-1,-2,4,East,8,8,8,2,false,true,false,false,true,false,false,false,North
2,4,true,true,true,true,1,10,2,8,2,9,3,7,7,4,5,4,0,4,-2,-3,4,North,8,8,8,2,false,true,false,false,true,false,false,false,North
2,5,true,true,true,true,1,10,2,8,2,9,3,7,6,3,4,3,0,4,-3,-4,4,North,8,8,8,2,false,true,false,false,true,false,false,false,North
2,6,true,true,true,true,1,10,2,8,2,9,3,7,5,2,3,2,0,4,-4,-5,4,North,8,8,8,2,false,true,false,false,true,false,false,false,North
2,7,true,true,true,true,1,10,2,8,2,9,3,7,4,1,2,1,0,4,-5,94,3,North,8,8,8,3,false,true,false,false,true,false,false,false,North
2,8,true,true,true,true,1,10,3,1,2,9,3,7,3,-1,1,2,0,3,194,293,2,North,8,4,8,4,false,false,true,false,true,false,false,false,North
2,9,true,true,true,true,1,10,3,1,5,1,3,7,2,-1,-1,3,0,2,393,392,2,North,8,4,4,4,true,false,false,false,false,false,false,true,West
1,9,true,true,true,false,1,10,3,1,5,1,3,7,1,-1,-1,4,0,2,492,591,1,West,8,4,4,4,true,false,false,false,true,false,false,false,North
